entry1,entry2,similarity
protein:ZINC000065293174,protein:ZINC000343043015,0.7317073170731707
protein:ZINC000065293174,protein:ZINC000012442563,0.6187050359712231
protein:ZINC000065293174,protein:ZINC000096459890,0.6170212765957447
protein:ZINC000065293174,protein:ZINC000575033470,0.6099290780141844
protein:ZINC000343043015,protein:ZINC000012442563,0.6444444444444445
protein:ZINC000343043015,protein:ZINC000096459890,0.6187050359712231
protein:ZINC000343043015,protein:ZINC000575033470,0.6231884057971014
protein:ZINC000012442563,protein:ZINC000096459890,0.6573426573426573
protein:ZINC000012442563,protein:ZINC000575033470,0.6619718309859155
protein:ZINC000096459890,protein:ZINC000575033470,0.6597222222222222
