entry1,entry2,similarity
protein:ZINC000096459890,protein:ZINC000575033470,0.4362745098039216
protein:ZINC000096459890,protein:ZINC000343043015,0.42857142857142855
protein:ZINC000096459890,protein:ZINC000012442563,0.47692307692307695
protein:ZINC000096459890,protein:ZINC000065293174,0.43157894736842106
protein:ZINC000575033470,protein:ZINC000343043015,0.398989898989899
protein:ZINC000575033470,protein:ZINC000012442563,0.4251207729468599
protein:ZINC000575033470,protein:ZINC000065293174,0.4020100502512563
protein:ZINC000343043015,protein:ZINC000012442563,0.4782608695652174
protein:ZINC000343043015,protein:ZINC000065293174,0.514792899408284
protein:ZINC000012442563,protein:ZINC000065293174,0.4497354497354497
