COC(=O)O	000	methyl hydrogen carbonate
COc1cc(cc(c1OC)OC)C(C(=O)N2CCCCC2C(=O)OC(CCCc3ccccc3)CCCc4cccnc4)(F)F	001	1-[2,2-difluoro-2-(3,4,5-trimethoxy-phenyl)-acetyl]-piperidine-2-carboxylic acid
4-phenyl-1-(3-pyridin-3-yl-propyl)-butyl ester
CCC(C)C(C(=O)NC(CC(C)C)C(=O)O)NC(=O)C(Cc1ccccc1)CC(=O)NO	002	n-[(2r)-2-benzyl-4-(hydroxyamino)-4-oxobutanoyl]-l-isoleucyl-l-leucine
CC(C)CN1c2c(c(n(n2)Cc3cccc4c3cccc4)c5ccncc5)C(=O)N(C1=O)C	003	5-methyl-7-(2-methylpropyl)-2-(naphthalen-1-ylmethyl)-3-pyridin-4-yl-2h-pyrazolo[3,4-d]pyrimidine-4,6(5h,7h)-dione
c1ccc(cc1)C(C(=O)O)N	004	(2s)-amino(phenyl)ethanoic acid
c1ccc(cc1)CC(C(C(=O)O)O)N	005	(2s,3s)-3-amino-2-hydroxy-4-phenylbutanoic acid
Cc1cccc(c1OCC(=O)NC(Cc2ccccc2)C(C(=O)N3CSC(C3C(=O)NC4c5ccccc5CC4O)(C)C)O)C	006	(4r)-3-[(2s,3s)-3-{[(2,6-dimethylphenoxy)acetyl]amino}-2-hydroxy-4-phenylbutanoyl]-n-[(1s,2r)-2-hydroxy-2,3-dihydro-1h-inden-1-yl]-5,5-dimethyl-1,3-thiazolidine-4-carboxamide
c1ccc(cc1)C2(CCCC2)CN	007	1-methylamine-1-benzyl-cyclopentane
c1ccc2c(c1)CC(N(C2)C(=O)CC(Cc3ccccc3F)N)C(=O)N	008	(s)-2-[(r)-3-amino-4-(2-fluoro-phenyl)-butyryl]-1,2,3,4-tetrahydro-isoquinoline-3-carboxylic acid amide
CN(C)c1cccc(c1)CNCC(C(Cc2ccccc2)NC(=O)C3(CN(C(=O)N3)Cc4ccccc4)Cc5ccccc5)O	009	(4s)-1,4-dibenzyl-n-[(1s,2r)-1-benzyl-3-{[3-(dimethylamino)benzyl]amino}-2-hydroxypropyl]-2-oxoimidazolidine-4-carboxamide
c1cc(ccc1C(=O)OP(=O)(O)OCC2C(C(C(O2)n3cnc4c3ncnc4N)O)O)Cl	00A	5'-o-[(s)-{[(4-chlorophenyl)carbonyl]oxy}(hydroxy)phosphoryl]adenosine
CC1(C(NCS1)C(=O)O)C	00B	(4r)-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid
C(C(C(=O)O)N)S(=O)(=O)O	00C	3-sulfo-d-alanine
CC(C(C)(C)C)N	00D	(2r)-3,3-dimethylbutan-2-amine
C1COCCN1CC(=O)O	00E	morpholin-4-ylacetic acid
CC(CP(=O)(C(Cc1ccccc1)N)O)C(=O)O	00F	(2s)-3-[(r)-[(1r)-1-amino-2-phenylethyl](hydroxy)phosphoryl]-2-methylpropanoic acid
c1ccn(c1)CCOc2ccc3c(c2)cc[nH]3	00G	5-[2-(1h-pyrrol-1-yl)ethoxy]-1h-indole
c1ccc(cc1)CC(N)P(=O)(CCC(=O)O)O	00H	3-[(r)-[(1r)-1-amino-2-phenylethyl](hydroxy)phosphoryl]propanoic acid
c1ccc2cc(ccc2c1)S(=O)(=O)NC(CCC(=O)O)C(=O)NC(Cc3ccc(cc3)C(=N)N)C(=O)N4CCCCC4	00I	n-[(1r)-1-(4-carbamimidoylbenzyl)-2-oxo-2-piperidin-1-ylethyl]-n~2~-(naphthalen-2-ylsulfonyl)-l-alpha-glutamine
Cc1c(c2ccc(cc2o1)Oc3ccnc4c3ccc(c4)OCCN5CCOCC5)C(=O)NC	00J	n,2-dimethyl-6-{[7-(2-morpholin-4-ylethoxy)quinolin-4-yl]oxy}-1-benzofuran-3-carboxamide
c1ccc(cc1)CC2(CCN3CCC(N3C2=O)C(=O)NC(CCCCN)C(C(=O)NC4CCCCC4)O)N	00K	(1s,7s)-7-amino-n-[(2r,3s)-7-amino-1-(cyclohexylamino)-2-hydroxy-1-oxoheptan-3-yl]-7-benzyl-8-oxohexahydro-1h-pyrazolo[1,2-a]pyridazine-1-carboxamide
c1ccc(cc1)CCNC(=O)C(C(CCCNC(=N)N)NC(=O)C2CCN3N2C(=O)C(CC3)(Cc4ccccc4)N)O	00L	(1s,7s)-7-amino-7-benzyl-n-[(1s)-4-carbamimidamido-1-{(1s)-1-hydroxy-2-oxo-2-[(2-phenylethyl)amino]ethyl}butyl]-8-oxohexahydro-1h-pyrazolo[1,2-a]pyridazine-1-carboxamide
c1ccc(cc1)CC(C(C(=O)O)O)N	00M	(2r,3s)-3-amino-2-hydroxy-4-phenylbutanoic acid
c1ccc(cc1)CC2(CCN3CCC(N3C2=O)C(=O)NC(CCCNC(=N)N)C(c4nccs4)O)N	00N	(1s,7s)-7-amino-7-benzyl-n-{(1s)-4-carbamimidamido-1-[(s)-hydroxy(1,3-thiazol-2-yl)methyl]butyl}-8-oxohexahydro-1h-pyra
zolo[1,2-a]pyridazine-1-carboxamide
c1ccc(cc1)C(c2ccccc2)C(C(=O)O)N	00O	beta-phenyl-d-phenylalanine
c1ccc(cc1)S(=O)(=O)CCN2C(=O)N3CC=CC(N3C2=O)C(=O)NCC4CCC(CC4)N	00P	(5s)-n-[(trans-4-aminocyclohexyl)methyl]-1,3-dioxo-2-[2-(phenylsulfonyl)ethyl]-2,3,5,8-tetrahydro-1h-[1,2,4]triazolo[1,2-a]pyridazine-5-carboxamide
c1ccc(cc1)CC(C(=O)N2CCCC2C(=O)NC(CCCNC(=N)N)C(c3nc4ccccc4s3)O)N	00Q	d-phenylalanyl-n-{(1s)-1-[(s)-1,3-benzothiazol-2-yl(hydroxy)methyl]-4-carbamimidamidobutyl}-l-prolinamide
c1ccc(cc1)S(=O)(=O)CCN2C(=O)N3CC=CC(N3C2=O)C(=O)NC4CCC(CC4)c5cnc([nH]5)N	00R	(5s)-n-[trans-4-(2-amino-1h-imidazol-5-yl)cyclohexyl]-1,3-dioxo-2-[2-(phenylsulfonyl)ethyl]-2,3,5,8-tetrahydro-1h-[1,2,4]triazolo[1,2-a]pyridazine-5-carboxamide
c1cc(ccc1CN)C(=N)N	00S	4-(aminomethyl)benzenecarboximidamide
c1cc(c(cc1Cl)CN)CN	00T	(4-chlorobenzene-1,2-diyl)dimethanamine
c1ccc(cc1)CC2(CCN3CCC(N3C2=O)C(=O)O)N	00U	(1s,7s)-7-amino-7-benzyl-8-oxohexahydro-1h-pyrazolo[1,2-a]pyridazine-1-carboxylic acid
C(CCN)CC(C(C(=O)O)O)N	00V	(2s,3s)-3,7-diamino-2-hydroxyheptanoic acid
C(CC(C(C(=O)O)O)N)CNC(=N)N	00W	3-amino-6-carbamimidamido-3,4,5,6-tetradeoxy-l-erythro-hexonic acid
c1ccc2c(c1)CC(C2N)O	00X	(1s,2r)-1-amino-2,3-dihydro-1h-inden-2-ol
c1csc(n1)C(C(CCCNC(=N)N)N)O	00Y	1-[(4s,5s)-4-amino-5-hydroxy-5-(1,3-thiazol-2-yl)pentyl]guanidine
c1ccc(cc1)CO	010	phenylmethanol
C(CCCN)CCC(=O)O	011	7-aminoheptanoic acid
CN(C)c1cccc(c1)CNCC(C(Cc2ccccc2)NC(=O)C3CN(C(=O)N3)Cc4cccc(c4)OC)O	012	(4s)-n-[(1s,2r)-1-benzyl-3-{[3-(dimethylamino)benzyl]amino}-2-hydroxypropyl]-1-(3-methoxybenzyl)-2-oxoimidazolidine-4-carboxamide
c1c(scn1)COC(=O)O	013	1,3-thiazol-5-ylmethyl hydrogen carbonate
c1c2c(cc(c1F)Cl)nc([nH]2)n3cc(cn3)C(=O)O	014	1-(5-chloro-6-fluoro-1h-benzimidazol-2-yl)-1h-pyrazole-4-carboxylic acid
c1ccc(cc1)CC(CC(C(Cc2ccccc2)N)O)N	015	(2s,3s,5s)-2,5-diamino-1,6-diphenylhexan-3-ol
Cc1cccc(c1OCC(=O)NC(Cc2ccccc2)C(C(=O)N3CSC(C3C(=O)NC4c5ccccc5CC4O)(C)C)O)C	016	(4r)-3-[(2r,3s)-3-{[(2,6-dimethylphenoxy)acetyl]amino}-2-hydroxy-4-phenylbutanoyl]-n-[(1s,2r)-2-hydroxy-2,3-dihydro-1h-
inden-1-yl]-5,5-dimethyl-1,3-thiazolidine-4-carboxamide
CC(C)CN(CC(C(Cc1ccccc1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)c4ccc(cc4)N	017	(3r,3as,6ar)-hexahydrofuro[2,3-b]furan-3-yl(1s,2r)-3-[[(4-aminophenyl)sulfonyl](isobutyl)amino]-1-benzyl-2-hydroxypropylcarbamate
c1cc(c(cc1C(F)(F)F)[N+](=O)[O-])NCc2ccsc2	018	2-nitro-n-(thiophen-3-ylmethyl)-4-(trifluoromethyl)aniline
CC(C)c1nc(cs1)CN(C)C(=O)O	019	methyl{[2-(propan-2-yl)-1,3-thiazol-4-yl]methyl}carbamic acid
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSCC(=O)c4ccc(cc4)Cl)O	01A	4-chlorophenacyl-coenzyme a
c1ccc(cc1)CC(C(C(=O)O)O)N	01B	(2s,3r)-3-amino-2-hydroxy-4-phenylbutanoic acid
c1ccc2c(c1)c(c[nH]2)CC(C(=O)C(C(F)(F)F)(F)F)N	01C	(4s)-4-amino-1,1,1,2,2-pentafluoro-5-(1h-indol-3-yl)pentan-3-one
CC(C(C(=O)NCc1ccc(cc1)I)O)NC(=O)C(CC(=O)n2cccc2)NC(=O)C(C(C)(C)C)NC(=O)CC(C)(C)C	01E	(2s)-2-(3,3-dimethylbutanoylamino)-n-[(2s)-1-[[(2s,3s)-3-hydroxy-4-[(4-iodophenyl)methylamino]-4-oxo-butan-2-yl]amino]-
1,4-dioxo-4-pyrrol-1-yl-butan-2-yl]-3,3-dimethyl-butanamide
CCOC(=O)O	01F	ethyl hydrogen carbonate
C1COCCN1c2nc3c(n2C4C(C(C(O4)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC3=O)N	01G	8-morpholin-4-ylguanosine 5'-(tetrahydrogen triphosphate)
C(CCNN)CN	01H	4-hydrazinylbutan-1-amine
